Type,Localisation,Latitude,Longitude,Title,Price in DH,Tags,Tags_length,Area in m²,Rooms,Bedrooms,Bathrooms,Condition,Floor,House Age in ans
Appartements Casablanca,Hay Zobir à Casablanca,33.53765386957437,-7.68171392824371,Appartement standing pour vente au préstige oulfa,1090000.0,"['95 m²', '4 Pièces', '3 Chambres', '2 Salles de bains', 'Bon état', '5-10 ans', '1er étage']",7,95.0,4.0,3.0,2.0,Bon état,1.0,7
Appartements Casablanca,Les Hôpitaux à Casablanca,33.5726023949879,-7.61584281921381,Bel appartement de 4 chambres au quartier 2 mars,2500000.0,"['200 m²', '5 Pièces', '4 Chambres', '3 Salles de bains', 'Bon état', '10-20 ans', '4ème étage']",7,200.0,5.0,4.0,3.0,Bon état,4.0,15
Villas & maisons de luxe Casablanca,Ain Diab à Casablanca,33.58630932470067,-7.671375274658203,Veilla à vendre Ain Diab,33000000.0,"['1613 m²', '7 Pièces', '4 Chambres', '4 Salles de bains', 'Bon état', '10-20 ans']",6,1613.0,7.0,4.0,4.0,Bon état,3.0,15
Appartements Casablanca,Oulfa à Casablanca,33.56170473792227,-7.630379283521052,Vente apprt à Oulfa Al Azhar,400000.0,"['50 m²', '1 Pièce', '3 Chambres', '1 Salle de bain', 'Bon état', '1-5 ans', '3ème étage']",8,50.0,4.682934712346477,3.0,1.0,Bon état,3.0,3
Appartements Casablanca,Maârif Extension à Casablanca,33.57987394514173,-7.646827697753906,Appartement à Vendre à Maarif Centre sup 153 m2,2600000.0,"['153 m²', '3 Pièces', '2 Chambres', '2 Salles de bains', 'Bon état', '5-10 ans', '2ème étage']",7,153.0,3.0,2.0,2.0,Bon état,2.0,7
Appartements Casablanca,Val Fleury à Casablanca,33.57519011717882,-7.636785507202148,Tres bel appart a vendre,2100000.0,"['130 m²', '5 Pièces', '3 Chambres', '2 Salles de bains', 'Bon état', ""Moins d'un an"", '1er étage']",7,130.0,5.0,3.0,2.0,Bon état,1.0,0
Appartements Casablanca,Maârif à Casablanca,33.56170473792227,-7.630379283521052,Tres bel appart a vendre,1900000.0,"['127 m²', '4 Pièces', '3 Chambres', '2 Salles de bains', 'Nouveau', '1-5 ans', '4ème étage']",7,127.0,4.0,3.0,2.0,Nouveau,4.0,3
Villas & maisons de luxe Casablanca,Ain Diab Extension à Casablanca,33.56170473792227,-7.630379283521052,Belle villa a vendre,8000000.0,"['320 m²', '6 Pièces', '4 Chambres', '1 Salle de bain', 'Bon état', '5-10 ans']",6,320.0,6.0,4.0,1.0,Bon état,3.0,7
Appartements Casablanca,Al Qods à Casablanca,33.56170473792227,-7.630379283521052,Bel appartement à vendre à Al Qods. Surface de 44 m². Antenne parabolique et sécurité.,300000.0,"['44 m²', '2 Pièces', '1 Chambre', '1 Salle de bain', 'Nouveau']",5,44.0,2.0,1.0,1.0,Nouveau,3.0,15
Appartements Casablanca,Hermitage à Casablanca,33.569251916295755,-7.613825798034526,Appartement en vente de 144 m2 à 2mars/Anoual,1600000.0,"['144 m²', '5 Pièces', '3 Chambres', '2 Salles de bains', 'Bon état', '10-20 ans', '4ème étage']",7,144.0,5.0,3.0,2.0,Bon état,4.0,15
Appartements Casablanca,Maârif à Casablanca,33.56170473792227,-7.630379283521052,Appartement à vendre au quartier Maarif,2400000.0,"['138 m²', '4 Pièces', '3 Chambres', '2 Salles de bains', 'Bon état', '5ème étage']",6,138.0,4.0,3.0,2.0,Bon état,5.0,15
Appartements Casablanca,Sidi Othmane à Casablanca,33.55747150733868,-7.567906379699707,Bel appartement à vendre à Sidi Othmane. 2 pièces. Porte blindée et parabole,425000.0,"['61 m²', '4 Pièces', '2 Chambres', '1 Salle de bain', 'Nouveau', ""Moins d'un an"", '3ème étage']",7,61.0,4.0,2.0,1.0,Nouveau,3.0,0
Appartements Casablanca,Californie à Casablanca,33.53595755299843,-7.625627517700195,Appartement à vendre à porte californie,1700000.0,"['121 m²', '5 Pièces', '3 Chambres', '2 Salles de bains', 'Bon état']",5,121.0,5.0,3.0,2.0,Bon état,3.0,15
Appartements Casablanca,Racine à Casablanca,33.56170473792227,-7.630379283521052,Joli appartement,1850000.0,"['126 m²', '3 Chambres', '2 Salles de bains']",4,126.0,4.682934712346477,3.0,2.306532663316583,Bon état,3.0,15
