Marque,Modéle,Année-Modele,Kilométrage,Type de carburant,Puissance fiscale,Boite de vitesses,Nombre de portes,Origine,Premiére main,état,Airbags,Climatisation,ABS,ESP,CD/MP3/Bluetooth,Prix
renault,clio,2019,27500,diesel,6,automatique,5.0,ww au maroc,oui,excellent,True,True,True,True,True,101000
toyota,land cruiser,2002,225000,diesel,12,automatique,3.0,dédouanée,oui,non spécifié,False,False,False,False,False,100000
renault,kangoo,2011,225000,diesel,6,manuelle,5.0,ww au maroc,non,trés bon,True,True,False,False,True,87000
fiat,500,2009,115000,diesel,6,manuelle,3.0,ww au maroc,non,trés bon,True,False,True,True,True,78000
volkswagen,polo,2018,22500,essence,6,manuelle,5.0,ww au maroc,oui,excellent,True,True,True,True,True,145000
renault,megane 3,2016,82500,diesel,6,manuelle,5.0,ww au maroc,non,excellent,False,False,False,False,False,115000
opel,astra,2016,145000,diesel,8,automatique,5.0,ww au maroc,non spécifié,excellent,True,True,True,True,True,146000
dacia,duster,2017,52500,diesel,6,manuelle,5.0,ww au maroc,oui,excellent,True,True,True,True,True,150000
dacia,logan,2012,135000,diesel,6,manuelle,5.0,ww au maroc,non,trés bon,False,False,False,False,False,65000
toyota,verso,2008,325000,diesel,8,manuelle,5.0,ww au maroc,non,excellent,True,True,True,True,True,72000
citroen,c3,2014,195000,diesel,6,manuelle,5.0,ww au maroc,oui,bon,True,True,True,False,True,75000
renault,megane 4,2017,175000,diesel,6,manuelle,5.0,ww au maroc,non,trés bon,True,True,True,True,False,140000
hyundai,elantra,2019,72500,diesel,6,automatique,5.0,ww au maroc,non,excellent,True,True,True,True,True,168000
nissan,qashqai,2015,125000,diesel,6,manuelle,5.0,ww au maroc,oui,excellent,True,True,True,True,True,155000
volkswagen,golf 7,2015,175000,diesel,6,manuelle,5.0,ww au maroc,oui,excellent,True,True,True,True,True,148000
skoda,octavia,2013,175000,diesel,8,--,5.0,non spécifié,non spécifié,non spécifié,False,False,False,False,False,130000
dacia,sandero,2012,165000,diesel,6,automatique,5.0,non spécifié,non,trés bon,False,False,False,False,False,76000
mercedes-benz,220,2001,12500,diesel,11,manuelle,5.0,dédouanée,non,trés bon,True,True,False,False,False,90000
renault,kangoo,2016,165000,diesel,6,manuelle,5.0,ww au maroc,oui,trés bon,True,True,False,False,False,113000
volkswagen,golf 5,2008,225000,diesel,8,manuelle,5.0,dédouanée,non,trés bon,True,True,True,True,True,107000
peugeot,206+,2010,97500,essence,6,manuelle,5.0,ww au maroc,non,excellent,False,False,False,False,False,62000
peugeot,tepee,2010,185000,diesel,6,manuelle,5.0,ww au maroc,non,excellent,True,True,True,False,True,98000
mercedes-benz,classe c,2008,92500,diesel,8,manuelle,5.0,dédouanée,oui,trés bon,False,False,False,False,False,125000
renault,scenic,2005,195000,diesel,6,manuelle,5.0,ww au maroc,non spécifié,bon,True,True,False,False,False,65000
dacia,logan,2013,175000,diesel,7,manuelle,5.0,ww au maroc,oui,trés bon,False,False,False,False,True,65000
skoda,octavia,2008,165000,diesel,8,manuelle,5.0,ww au maroc,oui,trés bon,True,True,False,False,True,85000
renault,master,2019,27500,diesel,9,manuelle,5.0,importée neuve,oui,trés bon,True,True,True,True,True,195000
dacia,duster,2016,225000,diesel,6,manuelle,5.0,ww au maroc,non,trés bon,True,True,False,False,False,130000
peugeot,208,2017,105000,essence,6,manuelle,5.0,ww au maroc,oui,bon,True,False,True,False,False,76000
opel,astra,2001,175000,essence,10,automatique,5.0,dédouanée,non,excellent,True,True,True,False,True,65000
volkswagen,touareg,2009,22500,diesel,12,automatique,5.0,ww au maroc,non,trés bon,True,True,False,False,False,88000
peugeot,206,2009,17500,diesel,6,--,5.0,non spécifié,non spécifié,non spécifié,False,False,False,False,False,67000
dacia,logan,2018,7500,essence,7,manuelle,5.0,ww au maroc,oui,excellent,True,True,True,False,True,80000
dacia,logan,2015,135000,diesel,6,manuelle,5.0,ww au maroc,non,excellent,True,True,False,False,True,84000
