,Lien,Ville,Secteur,Marque,Modèle,Année-Modèle,Kilométrage,Type de carburant,Puissance fiscale,Boite de vitesses,Nombre de portes,Origine,Première main,État,Jantes aluminium,Airbags,Climatisation,Système de navigation/GPS,Toit ouvrant,Sièges cuir,Radar de recul,Caméra de recul,Vitres électriques,ABS,ESP,Régulateur de vitesse,Limiteur de vitesse,CD/MP3/Bluetooth,Ordinateur de bord,Verrouillage centralisé à distance,Prix
61,https://www.avito.ma/fr/anfa/voitures/Clio_4_a_vendre_49073380.htm,Casablanca,Anfa,Renault,Clio,2019,25 000 - 29 999,Diesel,6,Automatique,5.0,WW au Maroc,Oui,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,101000
62,https://www.avito.ma/fr/agadir/voitures/_toyota_49073347.htm,Agadir,,Toyota,Land Cruiser,2002,200 000 - 249 999,Diesel,12,Automatique,3.0,Dédouanée,Oui,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,100000
63,https://www.avito.ma/fr/mohammedia/voitures/kongo_mliha__49073276.htm,Mohammedia,,Renault,Kangoo,2011,200 000 - 249 999,Diesel,6,Manuelle,5.0,WW au Maroc,Non,Très bon,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,87000
64,https://www.avito.ma/fr/2_mars/voitures/Fiat_500_D_49073116.htm,Casablanca,2 Mars,Fiat,500,2009,110 000 - 119 999,Diesel,6,Manuelle,3.0,WW au Maroc,Non,Très bon,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,78000
65,https://www.avito.ma/fr/le_centreville/voitures/Volkswagen_polo_%C3%A0_Faible_Km_49073008.htm,Agadir,Le centre-ville,Volkswagen,Polo,2018,20 000 - 24 999,Essence,6,Manuelle,5.0,WW au Maroc,Oui,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,145000
66,https://www.avito.ma/fr/f%C3%A8s/voitures/%D8%B1%D9%88%D9%86%D9%88_%D9%85%D9%8A%D8%BA%D8%A7%D9%86__49072979.htm,Fès,,Renault,Megane 3,2016,80 000 - 84 999,Diesel,6,Manuelle,5.0,WW au Maroc,Non,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,115000
67,https://www.avito.ma/fr/rabat/voitures/Opel_Astra_J_Automatique_48999380.htm,Rabat,,Opel,Astra,2016,140 000 - 149 999,Diesel,8,Automatique,5.0,WW au Maroc,,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,146000
68,https://www.avito.ma/fr/ouarzazate/voitures/dacia_49366447.htm,Ouarzazate,Toute la ville,Dacia,Duster,2017,50 000 - 54 999,Diesel,6,Manuelle,5.0,WW au Maroc,Oui,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,150000
69,https://www.avito.ma/fr/oulfa/voitures/Dacia__49366436.htm,Casablanca,Oulfa,Dacia,Logan,2012,130 000 - 139 999,Diesel,6,Manuelle,,WW au Maroc,Non,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,65000
70,https://www.avito.ma/fr/oujda/voitures/Toyota_verso_49366413.htm,Oujda,,Toyota,VERSO,2008,300 000 - 349 999,Diesel,8,Manuelle,5.0,WW au Maroc,Non,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,72000
